637761,"লীনা জানান, বলিউডের আইপিআইএক্স মুভিজ নিবেদিত ভারত-বাংলাদেশের শিল্পীদের নিয়ে বিশেষ আয়োজনটি সরাসরি সম্প্রচার হচ্ছে ১২ সেপ্টেম্বর সন্ধ্যা ৬টায়। প্রচার হবে ই-সংস্কৃত-এর ফেসবুক পেজ ও ইউটিউব চ্যানেলে। ",Paragraph,entertainment,,"https,www.banglatribune.com,/entertainment/news/637761/%E0%A6%B8%E0%A7%81%E0%A6%B6%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%B0%E0%A6%A3%E0%A7%87-%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%80%E0%A7%9F-%E0%A6%86%E0%A7%9F%E0%A7%8B%E0%A6%9C%E0%A6%A8-%E0%A6%97%E0%A6%BE%E0%A6%87%E0%A6%9B%E0%A7%87%E0%A6%A8-%E0%A6%B8%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%B0-%E0%A6%86%E0%A7%9F%E0%A7%87%E0%A6%B6%E0%A6%BE,,,",https://www.banglatribune.com/,newspaper,2020-08-18T14:48:00+06:00,2020-08-19 00:17:23
637679,"সংবাদ বিজ্ঞপ্তিতে জানানো হয়েছে, অনুষ্ঠানে শিল্প সচিব বলেন, দেশে টেকসই ও পরিবেশবান্ধব শিল্পায়নে বিসিক কর্মকর্তা-কর্মচারীদের প্রযুক্তিতে দক্ষতা অর্জনের পাশাপাশি সর্বাধুনিক জ্ঞানে সমৃদ্ধ হতে হবে। এ লক্ষ্যে আইসিটি বিষয়ক অভ্যন্তরীণ প্রশিক্ষণ জোরদারের নির্দেশনা দেন তিনি।",Paragraph,national,,"https,www.banglatribune.com,/national/news/637679/%E0%A6%B6%E0%A7%8B%E0%A6%95%E0%A6%95%E0%A7%87-%E0%A6%B6%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%A3%E0%A6%A4-%E0%A6%95%E0%A6%B0%E0%A7%87-%E0%A6%B6%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%AA%E0%A6%B8%E0%A6%AE%E0%A7%83%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6,,,",https://www.banglatribune.com/,newspaper,2020-08-17T22:13:00+06:00,2020-08-19 00:17:23
UniqueID,Text,Type,Category,Domain,url,RootDomain,source,DataPublishDate,ParseTime
article1792065.bdnews,"আর
গত এক দিনে মারা
যাওয়া ৪৬ জনকে নিয়ে
দেশে করোনাভাইরাসে মোট মৃতের সংখ্যা ৩ হাজার ৭৪০
জনে দাঁড়াল।",Paragraph,bangladesh,,"https,bangla.bdnews24.com,/bangladesh/article1792065.bdnews,,,",https://bangla.bdnews24.com/,newspaper, 18 Aug 2020 03:42 PM BdST,2020-08-19 00:17:22
article1791790.bdnews,"সোমবার এক ভিডিও বার্তায় শিপ্রা দেবনাথ বলেন, “একজন মানুষ হত্যাকে ধামাচাপা দেওয়ার জন্য আমার টুঁটি চেপে ধরে আমাকে আত্মহননের দিকে ঠেলে দিলে লাখো তরুণ-তরুণী এর প্রতিশোধ নেওয়া থেকে নিশ্চয়ই বিরত থাকবে না।",Paragraph,bangladesh,,"https,bangla.bdnews24.com,/bangladesh/article1791790.bdnews,,,",https://bangla.bdnews24.com/,newspaper, 17 Aug 2020 07:31 PM BdST,2020-08-19 00:17:23
article1791972.bdnews,ম্যাচের ১৯তম মিনিটে প্রথম ভালো সুযোগেই এগিয়ে যায় ইন্টার। শাখতার গোলরক্ষকের ভুল পাসে বল পেয়ে যান নিকোলো বারেল্লা। খানিকটা এগিয়ে ডান দিক থেকে তার নেওয়া দারুণ ক্রসে হেডে ঠিকানা খুঁজে নেন আর্জেন্টাইন স্ট্রাইকার মার্তিনেস।,Paragraph,sport,,"https,bangla.bdnews24.com,/sport/article1791972.bdnews,,,",https://bangla.bdnews24.com/,newspaper, 18 Aug 2020 02:52 AM BdST,2020-08-19 00:17:24
article1791923.bdnews,জাতির পিতার প্রতিকৃতিতে ফুল দেওয়ার মধ্য দিয়ে  শোক সভার শুরু করেন উপস্থিত নেতা কর্মী ও অতিথিরা। এর কোরআন তেলোয়াত করেন মো. আনিস হোসাইন।  ,Paragraph,probash,,"https,bangla.bdnews24.com,/probash/article1791923.bdnews,,,",https://bangla.bdnews24.com/,newspaper, 17 Aug 2020 11:42 PM BdST,2020-08-19 00:17:24
article1791936.bdnews,"লিসবনে সেদিন বিধ্বস্ত হওয়ার পর ম্যাচ শেষের প্রতিক্রিয়ায় বার্সেলোনা ডিফেন্ডার জেরার্দ পিকে বলেছিলেন, সামনের পথচলায় ঘুরে দাঁড়াতে ক্লাবের সব পর্যায়ে পরিবর্তন প্রয়োজন। একইরকম কথা বলেন ক্লাব সভাপতি জোজেপ মারিয়া বার্তোমেউও। ইতোমধ্যে কিছু সিদ্ধান্ত নেওয়া হয়ে গেছে বলেও জানিয়েছিলেন তিনি। পালাবদলের সেই অধ্যায় যেন শুরু হলো সেতিয়েনের বিদায় দিয়ে।",Paragraph,sport,,"https,bangla.bdnews24.com,/sport/article1791936.bdnews,,,",https://bangla.bdnews24.com/,newspaper, 18 Aug 2020 12:39 AM BdST,2020-08-19 00:17:25
637715,"সংশ্লিষ্ট সূত্রে জানা যায়, বিশ্বের ৮০টির বেশি দেশে সফটওয়্যার ও সেবাপণ্য রফতানি করে বাংলাদেশ। যুক্তরাষ্ট্র ও যুক্তরাজ্যর পাশাপাশি ইউরোপের অনেক দেশ বাংলাদেশ থেকে সফটওয়্যার ও সেবাপণ্য আমদানি করে। রফতানি হওয়া পণ্য ও সেবার মধ্যে প্রধানতম হচ্ছে—সফটওয়্যার, বিপিও (বিজনেস প্রসেস আউটসোর্সিং) ওয়েবসাইট ডিজাইন, অ্যাপস, গেমস, অ্যাপ্লিকেশন প্ল্যাটফর্ম, ভিওআইপি অ্যাপ্লিকেশন, ডাটা-এন্ট্রি, গ্রাফিকস ডিজাইন, প্রি-প্রেস, ডিজিটাল ডিজাইন, সাপোর্ট সার্ভিস, কাস্টমাইজড অ্যাপ্লিকেশন তৈরি ও রক্ষণাবেক্ষণ ইত্যাদি।",Paragraph,tech-and-gadget,,"https,www.banglatribune.com,/tech-and-gadget/news/637715/%E0%A6%B8%E0%A6%AB%E0%A6%9F%E0%A6%93%E0%A7%9F%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0-%E0%A6%93-%E0%A6%B8%E0%A7%87%E0%A6%AC%E0%A6%BE%E0%A6%AA%E0%A6%A3%E0%A7%8D%E0%A6%AF-%E0%A6%B0%E0%A6%AB%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%BF-%E0%A6%95%E0%A6%AE%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%97%E0%A7%87%E0%A6%9F-%E0%A6%AA%E0%A7%82%E0%A6%B0%E0%A6%A3,,,",https://www.banglatribune.com/,newspaper,2020-08-18T13:00:00+06:00,2020-08-19 00:17:25
637716,"বলা হয়ে থাকে, মূলত দেশের উত্তর-পূর্বাঞ্চলে বাংলাদেশের প্রধান গ্যাস উৎপাদনকারী এলাকা অবস্থিত। ভারতের মণিপুর ও মিজোরাম রাজ্য থেকে বয়ে আসা বরাক নদীর দক্ষিণ তীরের উপনদী হচ্ছে সুরমা। এই সুরমা নদী সিলেট শহরের ওপর দিয়ে প্রবাহিত হয়ে বানিয়াচং উপজেলার পশ্চিমে কুশিয়ারা নদীর সঙ্গে মিলিত হয়েছে এবং যার সম্মিলিত উত্তাল স্রোতধারাই হলো মেঘনা নদী। ভুবন ও বোকাবিল স্তরসমষ্টি নিয়ে গঠিত মায়োসিন সুরমা সিরিজের নাম এই নদী থেকে উদ্ভূত, সুরমা অববাহিকায় যার বিকাশ খুবই সমৃদ্ধ।",Paragraph,business,,"https,www.banglatribune.com,/business/news/637716/%E0%A6%A4%E0%A7%87%E0%A6%B2-%E0%A6%97%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8-%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%A8-%E0%A6%97%E0%A7%81%E0%A6%B0%E0%A7%81%E0%A6%A4%E0%A7%8D%E0%A6%AC-%E0%A6%95%E0%A7%87%E0%A6%AC%E0%A6%B2-%E0%A6%B8%E0%A7%81%E0%A6%B0%E0%A6%AE%E0%A6%BE%E0%A7%9F-%E0%A6%85%E0%A6%AC%E0%A6%B9%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A6%A4,,,",https://www.banglatribune.com/,newspaper,2020-08-18T15:00:00+06:00,2020-08-19 00:17:25
